Name,Email,Role,Department,Referred By,Stage,Updated
"Adinolfi, Wilson  K",adinolfi.wilsonk@example.com,Production Technician I,Production,LinkedIn,Applied,1/17/2019
"Alagbe,Trina",alagbe.trina@example.com,Production Technician I,Production,Indeed,Applied,1/3/2019
"Anderson, Linda",anderson.linda@example.com,Production Technician I,Production,LinkedIn,Applied,1/7/2019
"Andreola, Colby",andreola.colby@example.com,Software Engineer,Software Engineering,LinkedIn,Applied,1/2/2019
"Athwal, Sam",athwal.sam@example.com,Production Technician I,Production,Employee Referral,Applied,2/25/2019
"Bacong, Alejandro",bacong.alejandro@example.com,IT Support,IT/IS,Indeed,Applied,2/18/2019
"Beak, Kimberly",beak.kimberly@example.com,Production Technician II,Production,Employee Referral,Applied,1/14/2019
"Becker, Scott",becker.scott@example.com,Production Technician I,Production,LinkedIn,Applied,1/11/2019
"Biden, Lowan  M",biden.lowanm@example.com,Production Technician I,Production,Indeed,Applied,1/10/2019
"Billis, Helen",billis.helen@example.com,Production Technician I,Production,Indeed,Applied,2/27/2019
"Burke, Joelle",burke.joelle@example.com,Production Technician II,Production,Employee Referral,Applied,2/21/2019
"Burkett, Benjamin",burkett.benjamin@example.com,Production Technician II,Production,Indeed,Applied,1/14/2019
"Candie, Calvin",candie.calvin@example.com,Production Manager,Production,Indeed,Applied,2/22/2019
"Carabbio, Judith",carabbio.judith@example.com,Software Engineer,Software Engineering,Indeed,Applied,1/30/2019
"Carey, Michael",carey.michael@example.com,Production Technician I,Production,LinkedIn,Applied,2/1/2019
"Carr, Claudia  N",carr.claudian@example.com,Sr. DBA,IT/IS,LinkedIn,Applied,2/18/2019
"Carter, Michelle",carter.michelle@example.com,Area Sales Manager,Sales,Indeed,Applied,1/21/2019
"Carthy, B'rigit",carthy.brigit@example.com,Production Technician II,Production,LinkedIn,Applied,2/7/2019
"Champaigne, Brian",champaigne.brian@example.com,BI Director,IT/IS,Indeed,Applied,1/15/2019
"Chan, Lin",chan.lin@example.com,Production Technician I,Production,Indeed,Applied,2/19/2019
"Chang, Donovan  E",chang.donovane@example.com,Production Technician I,Production,LinkedIn,Applied,1/14/2019
"Chigurh, Anton",chigurh.anton@example.com,Area Sales Manager,Sales,Employee Referral,Applied,1/19/2019
"Cierpiszewski, Caroline",cierpiszewski.caroline@example.com,Production Technician I,Production,Indeed,Applied,1/30/2019
"Clayton, Rick",clayton.rick@example.com,IT Support,IT/IS,Indeed,Applied,2/27/2019
"Clukey, Elijian",clukey.elijian@example.com,Production Technician I,Production,Employee Referral,Applied,2/28/2019
"Cockel, James",cockel.james@example.com,Production Technician I,Production,Employee Referral,Applied,1/14/2019
"Corleone, Vito",corleone.vito@example.com,Director of Operations,Production,Indeed,Applied,2/4/2019
"Cornett, Lisa",cornett.lisa@example.com,Production Technician I,Production,Indeed,Applied,2/14/2019
"Costello, Frank",costello.frank@example.com,Data Analyst,IT/IS,Indeed,Applied,1/22/2019
"Crimmings,   Jean",crimmings.jean@example.com,Production Technician I,Production,LinkedIn,Applied,1/28/2019
"Cross, Noah",cross.noah@example.com,Sr. Network Engineer,IT/IS,Employee Referral,Applied,1/2/2019
"Daneault, Lynn",daneault.lynn@example.com,Sales Manager,Sales,Indeed,Applied,1/24/2019
"Daniele, Ann",daniele.ann@example.com,Sr. Network Engineer,IT/IS,LinkedIn,Applied,2/12/2019
"Darson, Jene'ya",darson.jeneya@example.com,Production Technician I,Production,Indeed,Applied,2/25/2019
"Davis, Daniel",davis.daniel@example.com,Production Technician II,Production,LinkedIn,Applied,2/27/2019
"Dee, Randy",dee.randy@example.com,Production Technician I,Production,Indeed,Applied,1/31/2019
"DeVito, Tommy",devito.tommy@example.com,BI Developer,IT/IS,Indeed,Applied,1/23/2019
"Dickinson, Geoff",dickinson.geoff@example.com,Production Technician I,Production,Indeed,Applied,2/19/2019
"Dolan, Linda",dolan.linda@example.com,IT Support,IT/IS,Employee Referral,Applied,2/25/2019
"Dougall, Eric",dougall.eric@example.com,IT Manager - Support,IT/IS,Indeed,Applied,1/4/2019
"Driver, Elle",driver.elle@example.com,Area Sales Manager,Sales,Indeed,Applied,1/27/2019
"Engdahl, Jean",engdahl.jean@example.com,Production Technician I,Production,LinkedIn,Applied,2/13/2019
"England, Rex",england.rex@example.com,Production Technician I,Production,Employee Referral,Applied,1/11/2019
"Faller, Megan",faller.megan@example.com,Production Technician II,Production,LinkedIn,Applied,2/22/2019
"Fancett, Nicole",fancett.nicole@example.com,Production Technician II,Production,LinkedIn,Applied,1/7/2019
"Foss, Jason",foss.jason@example.com,IT Director,IT/IS,Indeed,Applied,1/7/2019
"Galia, Lisa",galia.lisa@example.com,IT Support,IT/IS,LinkedIn,Applied,2/1/2019
"Garcia, Raul",garcia.raul@example.com,Production Technician I,Production,Employee Referral,Applied,2/18/2019
"Gaul, Barbara",gaul.barbara@example.com,Production Technician I,Production,LinkedIn,Applied,2/26/2019
"Gentry, Mildred",gentry.mildred@example.com,Production Technician I,Production,LinkedIn,Applied,1/16/2019
"Girifalco, Evelyn",girifalco.evelyn@example.com,Production Technician I,Production,Indeed,Applied,2/7/2019
"Givens, Myriam",givens.myriam@example.com,Area Sales Manager,Sales,Indeed,Interview,1/25/2019
"Goeth, Amon",goeth.amon@example.com,IT Support,IT/IS,LinkedIn,Interview,1/10/2019
"Gold, Shenice",gold.shenice@example.com,Production Technician I,Production,Indeed,Interview,2/18/2019
"Gonzalez, Maria",gonzalez.maria@example.com,IT Support,IT/IS,Employee Referral,Interview,1/28/2019
"Good, Susan",good.susan@example.com,Production Technician II,Production,LinkedIn,Interview,2/7/2019
"Gordon, David",gordon.david@example.com,Production Technician I,Production,LinkedIn,Interview,1/14/2019
"Goyal, Roxana",goyal.roxana@example.com,Production Technician I,Production,LinkedIn,Interview,2/15/2019
"Gray, Elijiah",gray.elijiah@example.com,Production Manager,Production,Employee Referral,Interview,1/4/2019
"Gruber, Hans",gruber.hans@example.com,BI Developer,IT/IS,Indeed,Interview,1/28/2019
"Hankard, Earnest",hankard.earnest@example.com,Production Technician II,Production,LinkedIn,Interview,1/8/2019
"Hitchcock, Alfred",hitchcock.alfred@example.com,Area Sales Manager,Sales,Indeed,Interview,1/30/2019
"Horton, Jayne",horton.jayne@example.com,Database Administrator,IT/IS,Indeed,Interview,1/3/2019
"Houlihan, Debra",houlihan.debra@example.com,Director of Sales,Sales,LinkedIn,Interview,1/21/2019
"Hudson, Jane",hudson.jane@example.com,Production Technician I,Production,LinkedIn,Interview,1/7/2019
"Hunts, Julissa",hunts.julissa@example.com,Production Technician II,Production,LinkedIn,Interview,1/18/2019
"Hutter, Rosalie",hutter.rosalie@example.com,Production Technician II,Production,Indeed,Interview,2/14/2019
"Ivey, Rose",ivey.rose@example.com,Production Technician I,Production,Indeed,Interview,1/14/2019
"Jackson, Maryellen",jackson.maryellen@example.com,Production Technician I,Production,LinkedIn,Interview,1/17/2019
"Jacobi, Hannah",jacobi.hannah@example.com,Production Technician I,Production,Employee Referral,Interview,2/22/2019
"Jeannite, Tayana",jeannite.tayana@example.com,Production Technician II,Production,LinkedIn,Interview,2/25/2019
"Jhaveri, Sneha",jhaveri.sneha@example.com,Production Technician I,Production,LinkedIn,Interview,1/21/2019
"Johnson, Noelle",johnson.noelle@example.com,Database Administrator,IT/IS,Indeed,Interview,2/11/2019
"Johnston, Yen",johnston.yen@example.com,Production Technician II,Production,LinkedIn,Interview,1/11/2019
"Keatts, Kramer",keatts.kramer@example.com,Production Technician I,Production,Indeed,Interview,1/23/2019
"Khemmich, Bartholemew",khemmich.bartholemew@example.com,Area Sales Manager,Sales,Indeed,Interview,1/22/2019
"King, Janet",king.janet@example.com,President & CEO,Executive Office,Indeed,Interview,1/17/2019
"Knapp, Bradley  J",knapp.bradleyj@example.com,Production Technician I,Production,LinkedIn,Interview,2/6/2019
